,"Author: Gouveia, Amauri J.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"h-index = 20 (Of the 48 documents considered for the h-index, 20 have been cited at least 20 times.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,<2001,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Subtotal,>2026,Total
2016,"A new anxiety test for zebrafish: Plus maze with ramp",19843054,"Psychology and Neuroscience","9","4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,0,1,2,3,0,12,0,12
2016,"A reliable depression-like model in zebrafish (Danio rerio): Learned helplessness",19843054,"Psychology and Neuroscience","9","3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,1,2,1,0,8,0,8
2015,"Reprint of »pharmacological study of the light/dark preference test in zebrafish (Danio rerio): Waterborne administration»",00913057,"Pharmacology Biochemistry and Behavior","139","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,1,0,1,0,1,8,0,8
2015,"Pharmacological study of the light/dark preference test in zebrafish (Danio rerio): Waterborne administration",00913057,"Pharmacology Biochemistry and Behavior","135","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,3,3,12,10,7,5,10,4,18,14,94,0,94
2015,"Effects of menthol on aggressive behavior in siamese fighting fish (Betta splendens)",19843054,"Psychology and Neuroscience","8","2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,4,0,4
2015,"Animal models of psychopathology and its relation to clinical practice",,"Psychiatry and Neuroscience Update: Bridging the Divide","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,2
2014,"Effects of the number of subjects on the dark/light preference of zebrafish (Danio rerio)",15458547,"Zebrafish","11","6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,2,1,1,4,1,6,0,0,21,0,21
2014,"Ascorbic acid protects against anxiogenic-like effect induced by methylmercury in zebrafish: Action on the serotonergic system",15458547,"Zebrafish","11","4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,7,5,4,2,3,3,1,2,35,0,35
2014,"Fingerprinting of psychoactive drugs in zebrafish anxiety-like behaviors",19326203,"PLoS ONE","9","7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,7,7,7,11,9,4,10,3,10,9,2,91,0,91
2014,"Behavioral and histological effects of rotenone in fish (Guppy, Poecilia reticulata)",19843054,"Psychology and Neuroscience","7","4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
