,"Author: Diniz, José Antônio Picanço",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"h-index = 16 (Of the 56 documents considered for the h-index, 16 have been cited at least 16 times.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,<2001,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Subtotal,>2026,Total
2015,"Three-dimensional morphometric analysis of microglial changes in a mouse model of virus encephalitis: Age and environmental influences",0953816X,"European Journal of Neuroscience","42","4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,3,1,6,2,1,4,1,1,24,0,24
2014,"A novel cell line derived from pleomorphic adenoma expresses MMP2, MMP9, TIMP1, TIMP2, and shows numeric chromosomal anomalies",19326203,"PLoS ONE","9","8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,0,0,1,2,0,4,0,13,0,13
2014,"Vitamin E-analog Trolox prevents endoplasmic reticulum stress in frozen-thawed ovarian tissue of capuchin monkey (Sapajus apella)",0302766X,"Cell and Tissue Research","355","2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,0,5,2,3,2,1,4,2,5,1,33,0,33
2014,"Nearly complete genome sequence of curionopolis virus, a Culicoides-related rhabdovirus isolated in the Brazilian Amazon region",21698287,"Genome Announcements","2","6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
2014,"Xiburema virus, a hitherto undescribed virus within the family Rhabdoviridae isolated in the Brazilian Amazon region",21698287,"Genome Announcements","2","3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,1,1,0,0,0,6,0,6
2013,"Aging and environmental enrichment exacerbate inflammatory response on antibody-enhanced dengue disease in immunocompetent murine model",1721727X,"European Journal of Inflammation","11","3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,1,0,0,0,0,6,0,6
2012,"Environmental influences on antibody-enhanced dengue disease outcomes",00740276,"Memorias do Instituto Oswaldo Cruz","107","8",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,1,0,1,0,0,0,0,0,6,0,6
2011,"Influence of enriched environment on viral encephalitis outcomes: Behavioral and neuropathological changes in albino Swiss mice",19326203,"PLoS ONE","6","1",0,0,0,0,0,0,0,0,0,0,0,1,3,2,3,4,3,1,3,5,2,5,2,1,0,0,4,39,0,39
2011,"Early behavioral changes and quantitative analysis of neuropathological features in murine prion disease: Stereological analysis in the albino Swiss mice model",19336896,"Prion","5","3",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,0,0,2,0,0,1,1,0,9,0,9
2010,"TGF-β plasma levels in chromoblastomycosis patients during itraconazole treatment",10434666,"Cytokine","51","2",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,2,0,0,0,0,0,1,0,0,0,7,0,7
2009,"Characterization in vivo and in vitro of a strain of Leishmania (Viannia) shawi from the Amazon Region",13835769,"Parasitology International","58","2",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,4,0,4
2009,"Cutaneous localized annular chromoblastomycosis",03036987,"Journal of Cutaneous Pathology","36","2",0,0,0,0,0,0,0,0,0,0,3,2,1,1,1,0,1,0,1,0,0,2,0,0,0,0,1,13,0,13
2009,"Ultrastructural aspects of hemocytes from Biomphalaria glabrata say (1818) (Gastropoda: Planorbidae) analysed with transmission eletronic microscopy",00445967,"Acta Amazonica","39","3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2008,"Development of natural culture media for rapid induction of Fonsecaea pedrosoi sclerotic cells in vitro",00951137,"Journal of Clinical Microbiology","46","11",0,0,0,0,0,0,0,0,0,1,2,0,3,1,1,0,0,2,4,0,1,0,0,0,0,1,0,16,0,16
2007,"Phagocytosis of Fonsecaea pedrosoi conidia, but not sclerotic cells caused by Langerhans cells, inhibits CD40 and B7-2 expression",09288244,"FEMS Immunology and Medical Microbiology","50","1",0,0,0,0,0,0,0,1,1,1,3,2,1,0,4,0,0,2,2,0,0,1,0,0,1,1,0,20,0,20
2007,"Characterization of Minaçu virus (Reoviridae: Orbivirus) and pathological changes in experimentally infected newborn mice",09599673,"International Journal of Experimental Pathology","88","1",0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,1,0,0,1,0,1,0,0,0,0,0,0,10,0,10
2007,"Blood and inflammatory cells of the lungfish Lepidosiren paradoxa",10504648,"Fish and Shellfish Immunology","23","1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,2,0,0,1,0,0,1,0,7,0,7
2006,"Characterization of two new rhabdoviruses isolated from midges (Culicoides SPP) in the Brazilian Amazon: Proposed members of a new genus, Bracorhabdovirus",03048608,"Archives of Virology","151","12",0,0,0,0,0,0,0,1,1,1,0,1,1,0,2,2,2,1,0,1,0,0,0,1,0,2,0,16,0,16
2006,"Ultrastructural study of the gametocytes and merogonic stages of Fallisia audaciosa (Haemosporina: Garniidae) that infect neutrophils of the lizard Plica umbra (Reptilia: Iguanidae)",14344610,"Protist","157","1",0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,5
2006,"Neurotropism and neuropathological effects of selected rhabdoviruses on intranasally-infected newborn mice",0001706X,"Acta Tropica","97","2",0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,2,1,2,0,2,0,1,0,14,0,14
2006,"West nile virus infection of primary mouse neuronal and neuroglial cells: The role of astrocytes in chronic infection",00029637,"American Journal of Tropical Medicine and Hygiene","75","4",0,0,0,0,0,0,0,0,0,0,3,1,3,2,3,3,3,2,1,5,1,3,4,4,2,4,2,46,0,46
2005,"Ultrastructural aspects of Fallisia effusa (Haemosporina: Garniidae) in thrombocytes of the lizard Neusticurus bicarinatus (Reptilia: Teiidae)",14344610,"Protist","156","1",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,4,0,4
2005,"Araguari virus, a new member of the family Orthomyxoviridae: Serologic, ultrastructural, and molecular characterization",00029637,"American Journal of Tropical Medicine and Hygiene","73","6",0,0,0,0,0,0,0,1,1,2,0,1,1,0,3,2,1,1,3,2,0,2,4,2,1,2,0,29,0,29
2005,"Cytochemical and functional characterization of blood and inflammatory cells from the lizard Ameiva ameiva",00408166,"Tissue and Cell","37","3",0,0,0,0,0,0,0,1,2,0,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11
