"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"da Costa L.R.; Watanabe I.S.; Kronka M.C.","da Costa, Luciane Ribeiro de Rezende Sucasas (57202770281); Watanabe, Ii-Sei (7402438410); Kronka, Marcia Consentino (55224737400)","57202770281; 7402438410; 55224737400","Coronal dentinal tubules of non-erupted deciduous incisors.","2002","Pesquisa odontológica brasileira = Brazilian oral research","16","1","","12","17","5","3","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036366590&partnerID=40&md5=114d49c5ae6537f29e8832da3fc81bc6","Article","Final","","Scopus","2-s2.0-0036366590"
"Figueiredo Cerqueira M.M.D.; Castro M.M.L.; Vieira A.A.; Kurosawa J.A.A.; Amaral Junior F.L.D.; Siqueira Mendes F.D.C.C.D.; Sosthenes M.C.K.","Figueiredo Cerqueira, Mariah Mesquita de (58155466600); Castro, Micaele Maria Lopes (57207759953); Vieira, Amanda Almeida (58155945200); Kurosawa, Juliana Ayumi Azevedo (58154987500); Amaral Junior, Fabio Leite do (58156423200); Siqueira Mendes, Fabíola de Carvalho Chaves de (57223139927); Sosthenes, Marcia Consentino Kronka (55224737400)","58155466600; 57207759953; 58155945200; 58154987500; 58156423200; 57223139927; 55224737400","Comparative analysis between Open Field and Elevated Plus Maze tests as a method for evaluating anxiety-like behavior in mice","2023","Heliyon","9","4","e14522","","","","77","10.1016/j.heliyon.2023.e14522","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150854633&doi=10.1016%2fj.heliyon.2023.e14522&partnerID=40&md5=b3f245e2023d7ccc472394beda6ad34e","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85150854633"
"Sosthenes M.C.K.; Diniz D.G.; Roodselaar J.; Abadie-Guedes R.; Mendes F.C.C.S.; Fernandes T.N.; Bittencourt J.C.; Diniz C.W.P.; Anthony D.C.; Guedes R.C.A.","Sosthenes, Marcia Consentino Kronka (55224737400); Diniz, Daniel Guerreiro (36195579100); Roodselaar, Jay (57195491683); Abadie-Guedes, Ricardo (15730147500); Mendes, Fabíola de Carvalho Chaves de Siqueira (55929494700); Fernandes, Taiany Nogueira (56702115600); Bittencourt, Jackson Cioni (7003845333); Diniz, Cristovam Wanderley Picanço (6701676103); Anthony, Daniel Clive (7102866439); Guedes, Rubem Carlos Araújo (7103388671)","55224737400; 36195579100; 57195491683; 15730147500; 55929494700; 56702115600; 7003845333; 6701676103; 7102866439; 7103388671","Stereological analysis of early gene expression using Egr-1 immunolabeling after spreading depression in the rat somatosensory cortex","2019","Frontiers in Neuroscience","13","SEP","1020","","","","9","10.3389/fnins.2019.01020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073172200&doi=10.3389%2ffnins.2019.01020&partnerID=40&md5=ec15fcd22534ca70c74152e64fc30d91","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85073172200"
"Mendes F.C.C.S.; de Almeida M.N.F.; Falsoni M.; Andrade M.L.F.; Felício A.P.G.; da Paixão L.T.V.B.; Júnior F.L.D.A.; Anthony D.C.; Brites D.; Diniz C.W.P.; Sosthenes M.C.K.","Mendes, Fabíola de Carvalho Chaves de Siqueira (55929494700); de Almeida, Marina Negrão Frota (55929625700); Falsoni, Manoela (55027319700); Andrade, Marcia Lorena Ferreira (57727227700); Felício, André Pinheiro Gurgel (55929644000); da Paixão, Luisa Taynah Vasconcelos Barbosa (57209181979); Júnior, Fábio Leite Do Amaral (57726689200); Anthony, Daniel Clive (7102866439); Brites, Dora (7004026610); Diniz, Cristovam Wanderley Picanço (6701676103); Sosthenes, Marcia Consentino Kronka (55224737400)","55929494700; 55929625700; 55027319700; 57727227700; 55929644000; 57209181979; 57726689200; 7102866439; 7004026610; 6701676103; 55224737400","The Sedentary Lifestyle and Masticatory Dysfunction: Time to Review the Contribution to Age-Associated Cognitive Decline and Astrocyte Morphotypes in the Dentate Gyrus","2022","International Journal of Molecular Sciences","23","11","6342","","","","7","10.3390/ijms23116342","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131306473&doi=10.3390%2fijms23116342&partnerID=40&md5=cd043f3aee6be82ba606d73b81c9ff17","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85131306473"
"De Carvalho Chaves De Siqueira Mendes F.; Da Paixão L.T.V.B.; Diniz C.W.P.; Sosthenes M.C.K.","De Carvalho Chaves De Siqueira Mendes, Fabíola (57209177855); Da Paixão, Luisa Taynah Vasconcelos Barbosa (57209181979); Diniz, Cristovam Wanderley Picanço (6701676103); Sosthenes, Marcia Consentino Kronka (55224737400)","57209177855; 57209181979; 6701676103; 55224737400","Environmental impoverishment, aging, and reduction in mastication affect mouse innate repertoire to explore novel environments and to assess risk","2019","Frontiers in Neuroscience","13","","107","","","","10","10.3389/fnins.2019.00107","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066737085&doi=10.3389%2ffnins.2019.00107&partnerID=40&md5=0eca557b610bb449f90723b1615ba111","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85066737085"
"Cunha Feio Leal M.D.; Amaral Junior F.L.D.; Silva Arruda B.F.D.; Kurosawa J.A.A.; Vieira A.A.; Maia J.C.C.; Scalfoni V.V.B.; Silveira Junior A.M.D.; Feijó M.O.; Albuquerque F.B.A.D.; Marta M.H.M.; Normando M.P.N.; Silva A.G.O.C.D.; Trindade F.C.P.D.; Siqueira Mendes F.D.C.C.D.; Sosthenes M.C.K.","Cunha Feio Leal, Marília da (58187940200); Amaral Junior, Fabio Leite do (58156423200); Silva Arruda, Bernardo Freire da (58187619200); Kurosawa, Juliana Ayumi Azevedo (58154987500); Vieira, Amanda Almeida (58155945200); Maia, Júlia Corrêa Campos (57219172657); Scalfoni, Viviana Virgínia Bezerra (58187884900); Silveira Junior, Antonio Morais da (58187991200); Feijó, Matheus Oliveira (57835639300); Albuquerque, Fernanda Beatriz Araújo de (58187940300); Marta, Maria Helena Moutinho (58187778100); Normando, Marina Paula Nobre (58187675900); Silva, Alana Gabriele Oliveira Cabeça da (58187833100); Trindade, Fernanda Catharina Pires da (58187619300); Siqueira Mendes, Fabíola de Carvalho Chaves de (57223139927); Sosthenes, Marcia Consentino Kronka (55224737400)","58187940200; 58156423200; 58187619200; 58154987500; 58155945200; 57219172657; 58187884900; 58187991200; 57835639300; 58187940300; 58187778100; 58187675900; 58187833100; 58187619300; 57223139927; 55224737400","The Masticatory Activity Interference in Quantitative Estimation of CA1, CA3 and Dentate Gyrus Hippocampal Astrocytes of Aged Murine Models and under Environmental Stimulation","2023","International Journal of Molecular Sciences","24","7","6529","","","","2","10.3390/ijms24076529","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152779156&doi=10.3390%2fijms24076529&partnerID=40&md5=02b67e44d680f25315d4ef61735d36c1","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85152779156"
"Leal M.D.C.F.; Castro M.M.L.; Sosthenes M.C.K.","Leal, Marília Da Cunha Feio (58069366400); Castro, Micaele Maria Lopes (57207759953); Sosthenes, Márcia Consentino Kronka (55224737400)","58069366400; 57207759953; 55224737400","Updating the General Practitioner on the Association between Teeth Loss and Temporomandibular Disorders: A Systematic Review","2023","European Journal of Dentistry","17","2","","296","309","13","5","10.1055/s-0042-1757209","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146463284&doi=10.1055%2fs-0042-1757209&partnerID=40&md5=11408a3328cc57521dc5af61ba34b674","Review","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85146463284"
"Kronka M.C.; Watanabe I.; Lopes M.G.O.; Silva M.C.P.","Kronka, M.C. (55224737400); Watanabe, I. (7402438410); Lopes, M.G.O. (14048698500); Silva, M.C.P. (54788215000)","55224737400; 7402438410; 14048698500; 54788215000","Palatine mucosa of aging and experimentally induced diabetic aging rabbits: Light-microscopic, scanning electron microscopic and transmission electron microscopic qualitative study","2006","Gerontology","52","4","","199","203","4","2","10.1159/000093651","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33746371024&doi=10.1159%2f000093651&partnerID=40&md5=b294f2bcb959bdcf4058b4c2d33df685","Article","Final","","Scopus","2-s2.0-33746371024"
"da Costa Neto I.R.; do Amaral Junior F.L.; da Silva Arruda B.F.; Castro M.M.L.; Carvalho Chaves de Siqueira Mendes F.D.; Anthony D.C.; de Oliveira Brites D.M.T.; Diniz C.W.P.; Sosthenes M.C.K.","da Costa Neto, Ivaniro Rodrigues (59451818800); do Amaral Junior, Fabio Leite (59451818900); da Silva Arruda, Bernardo Freire (59450554500); Castro, Micaele Maria Lopes (57207759953); Carvalho Chaves de Siqueira Mendes, Fabíola de (59450807700); Anthony, Daniel Clive (7102866439); de Oliveira Brites, Dora Maria Tuna (57189794305); Diniz, Cristovam Wanderley Picanço (6701676103); Sosthenes, Marcia Consentino Kronka (55224737400)","59451818800; 59451818900; 59450554500; 57207759953; 59450807700; 7102866439; 57189794305; 6701676103; 55224737400","Impact of masticatory activity and rehabilitation on astrocyte morphology across the molecular layer of the dentate gyrus: Insights from the outer, medial, and inner sublayers and their relationship with spatial learning and memory","2025","Annals of Anatomy","258","","152356","","","","1","10.1016/j.aanat.2024.152356","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210612280&doi=10.1016%2fj.aanat.2024.152356&partnerID=40&md5=2153abdcaa1f9e5b6eecc29f205f3991","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85210612280"
"Diniz D.G.; Silva G.O.; Naves T.B.; Fernandes T.N.; Araújo S.C.; Diniz J.A.P.; de Farias L.H.S.; Sosthenes M.C.K.; Diniz C.G.; Anthony D.C.; da Costa Vasconcelos P.F.; Diniz C.W.P.","Diniz, Daniel G. (36195579100); Silva, Geane O. (56803229300); Naves, Thaís B. (56986337900); Fernandes, Taiany N. (56702115600); Araújo, Sanderson C. (56803409100); Diniz, José A. P. (7005040559); de Farias, Luis H. S. (57188570009); Sosthenes, Marcia C. K. (55224737400); Diniz, Cristovam G. (56702231100); Anthony, Daniel C. (7102866439); da Costa Vasconcelos, Pedro F. (35602021900); Diniz, Cristovam W Picanço (6701676103)","36195579100; 56803229300; 56986337900; 56702115600; 56803409100; 7005040559; 57188570009; 55224737400; 56702231100; 7102866439; 35602021900; 6701676103","Hierarchical cluster analysis of three-dimensional reconstructions of unbiased sampled microglia shows not continuous morphological changes from stage 1 to 2 after multiple dengue infections in Callithrix penicillata","2016","Frontiers in Neuroanatomy","10","MAR","23","","","","8","10.3389/fnana.2016.00023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961752067&doi=10.3389%2ffnana.2016.00023&partnerID=40&md5=d3cd8e9cae6c586c5898c0b7eec8bd3b","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-84961752067"
