,"Author: Monteiro, M. C.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"h-index = 29 (Of the 118 documents considered for the h-index, 29 have been cited at least 29 times.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,<2001,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Subtotal,>2026,Total
2022,"BmooMPα-I, a Metalloproteinase Isolated from Bothrops moojeni Venom, Reduces Blood Pressure, Reverses Left Ventricular Remodeling and Improves Cardiac Electrical Conduction in Rats with Renovascular Hypertension",20726651,"Toxins","14","11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,3
2022,"Alterations in CD39/CD73 axis of T cells associated with COVID-19 severity",00219541,"Journal of Cellular Physiology","237","8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,4,5,1,24,0,24
2022,"Viral load is associated with mitochondrial dysfunction and altered monocyte phenotype in acute severe SARS-CoV-2 infection",15675769,"International Immunopharmacology","108","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,9,5,2,28,0,28
2022,"Repeated Cycles of Binge-Like Ethanol Exposure Induces Neurobehavioral Changes during Short- and Long-Term Withdrawal in Adolescent Female Rats",19420900,"Oxidative Medicine and Cellular Longevity","2022","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,10,0,10
2022,"Effects of long-term fluoride exposure are associated with oxidative biochemistry impairment and global proteomic modulation, but not genotoxicity, in parotid glands of mice",19326203,"PLoS ONE","17","1 January",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,2,9,0,9
2021,"A preliminary study on the association of tamoxifen, endoxifen, and 4-hydroxytamoxifen with blood lipids in patients with breast cancer",07533322,"Biomedicine and Pharmacotherapy","142","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
2021,"Imaging Microstructural Damage and Alveolar Bone Loss in Rats Systemically Exposed to Methylmercury: First Experimental Evidence",01634984,"Biological Trace Element Research","199","10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,2,0,1,10,0,10
2021,"Effects of Fluoride on Submandibular Glands of Mice: Changes in Oxidative Biochemistry, Proteomic Profile, and Genotoxicity",16639812,"Frontiers in Pharmacology","12","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,1,1,12,0,12
2021,"Long-Term Exposure to Inorganic Mercury Leads to Oxidative Stress in Peripheral Blood of Adult Rats",01634984,"Biological Trace Element Research","199","8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,2,2,11,0,11
2021,"Can Nimesulide Nanoparticles Be a Therapeutic Strategy for the Inhibition of the KRAS/PTEN Signaling Pathway in Pancreatic Cancer?",2234943X,"Frontiers in Oncology","11","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,5,1,15,0,15
2021,"Chemical composition and antibacterial action of Stryphnodendron pulcherrimum bark extract, “barbatimão” species: Evaluation of its use as a topical agent",18785352,"Arabian Journal of Chemistry","14","6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,1,1,10,0,10
