,"Author: Monteiro, M. C.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"h-index = 29 (Of the 118 documents considered for the h-index, 29 have been cited at least 29 times.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,<2001,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Subtotal,>2026,Total
2014,"Clinical applications and methemoglobinemia induced by dapsone",01035053,"Journal of the Brazilian Chemical Society","25","10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,4,2,1,2,1,1,0,14,0,14
2014,"A comparison between characterization and biological properties of brazilian fresh and aged propolis",23146133,"BioMed Research International","2014","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,3,5,8,7,3,6,2,3,4,0,48,0,48
2013,"Agaricus brasiliensis mycelium and its polysaccharide modulate the parameters of innate and adaptive immunity",09540105,"Food and Agricultural Immunology","24","4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,3,0,1,1,0,1,0,11,0,11
2013,"Antifungal bioassay-guided fractionation of an oil extract of propolis",01469428,"Journal of Food Quality","36","5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,3,3,0,3,2,2,2,1,19,0,19
2013,"Antioxidant factors, nitric oxide levels, and cellular damage in leprosy patients",00378682,"Revista da Sociedade Brasileira de Medicina Tropical","46","5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,1,3,0,1,0,1,0,0,10,0,10
2013,"A theoretical study of the dapsone derivatives on methemoglobin",15461955,"Journal of Computational and Theoretical Nanoscience","10","9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,3,0,3
2013,"Agaricus brasiliensis mycelium supplementation in Sarcoma 180tumour-bearing mice reverses the immune response induced by the tumour",09540105,"Food and Agricultural Immunology","24","2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,5,0,5
2013,"Antinociceptive, neurobehavioral and antioxidant effects of Eupatorium triplinerve Vahl on rats",03788741,"Journal of Ethnopharmacology","147","2",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,1,4,3,2,3,0,2,5,0,28,0,28
2013,"Design and Evaluation of 4-Aminophenol and Salicylate Derivatives as Free-Radical Scavenger",17470277,"Chemical Biology and Drug Design","81","3",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,2,2,4,4,1,4,0,2,2,26,0,26
2012,"Potential behavioral and pro-oxidant effects of Petiveria alliacea L. extract in adult rats",03788741,"Journal of Ethnopharmacology","143","2",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,4,1,2,0,2,5,4,3,0,1,25,0,25
2012,"Anthropometry and infectious and parasitic diseases",,"Handbook of Anthropometry: Physical Measures of Human Form in Health and Disease","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
2011,"A geometric and electronic study of dapsone",15461955,"Journal of Computational and Theoretical Nanoscience","8","8",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,3,2,0,1,0,1,0,11,0,11
2011,"Antifungal activity of some cyclooxygenase inhibitors on Candida albicans: PGE2-dependent mechanism",00155632,"Folia Microbiologica","56","4",0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,1,4,4,0,2,0,2,3,2,3,1,1,32,0,32
2011,"Antimicrobial activity of extracts obtained from the seeds of Vatairea guianensis (Aublet)",07177917,"Boletin Latinoamericano y del Caribe de Plantas Medicinales y Aromaticas","10","5",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,4,0,4
2010,"Agaricus brasiliensis-enriched functional product promotes in mice increase in HDL levels and immunomodulate to th1 CD4+T subsets. A. brasiliensis functional product and biological benefits",09738916,"Current Trends in Biotechnology and Pharmacy","4","4",0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,1,0,1,0,0,0,0,0,1,0,0,9,0,9
2010,"Anticoagulant and fibrinogenolytic properties of the venom of Polybia occidentalis social wasp",09575235,"Blood Coagulation and Fibrinolysis","21","7",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,4,1,0,2,2,2,2,1,2,3,1,23,0,23
2009,"Pharmacological perspectives of wasp venom",09298665,"Protein and Peptide Letters","16","8",0,0,0,0,0,0,0,0,0,0,2,1,3,0,1,2,2,1,2,1,4,1,3,1,1,2,0,27,0,27
2009,"Mast cell degranulation contributes to susceptibility to Leishmania major",01419838,"Parasite Immunology","31","3",0,0,0,0,0,0,0,0,0,1,2,2,0,1,3,0,2,5,0,1,1,3,2,1,4,1,0,29,0,29
2008,"Myotoxic phospholipases A2 isolated from Bothrops brazili snake venom and synthetic peptides derived from their C-terminal region: Cytotoxic effect on microorganism and tumor cells",01969781,"Peptides","29","10",0,0,0,0,0,0,0,0,0,2,5,6,2,9,3,8,4,7,8,6,5,4,7,8,9,6,1,100,0,100
2008,"Antiviral and antiparasite properties of an l-amino acid oxidase from the Snake Bothrops jararaca: Cloning and identification of a complete cDNA sequence",00062952,"Biochemical Pharmacology","76","2",0,0,0,0,0,0,0,0,0,3,3,3,2,2,3,2,0,1,0,1,3,0,0,1,0,2,0,26,0,26
2008,"Syphilis detection using ELISA and VDRL tests on blood donors at the blood center of Guarapuava, State of Paraná",00378682,"Revista da Sociedade Brasileira de Medicina Tropical","41","4",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,6,0,6
2008,"N-acetyl-L-cysteine reduces the parasitism of BALB/c mice infected with Leishmania amazonensis",09320113,"Parasitology Research","102","4",0,0,0,0,0,0,0,0,1,0,2,0,1,0,2,0,1,0,0,0,1,0,2,0,0,0,0,10,0,10
2008,"The influence of glutathione modulators on the course of Leishmania major infection in susceptible and resistant mice",01419838,"Parasite Immunology","30","3",0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,1,0,0,1,0,1,2,1,0,1,0,0,13,0,13
2007,"Spatial distribution of enteroparasites among school children from Guarapuava, State of Paraná, Brazil",1415790X,"Revista Brasileira de Epidemiologia","10","4",0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,1,1,2,0,1,1,0,0,0,0,0,0,11,0,11
2007,"Detection of new cases of leprosy in the City of Prudentópolis, PR: The analysis from 1998 to 2005",00378682,"Revista da Sociedade Brasileira de Medicina Tropical","40","5",0,0,0,0,0,0,0,0,1,0,0,1,0,2,2,2,0,0,2,0,0,0,0,0,0,0,0,10,0,10
2007,"Effect of Lutzomyia longipalpis salivary gland extracts on leukocyte migration induced by Leishmania major",00029637,"American Journal of Tropical Medicine and Hygiene","76","1",0,0,0,0,0,0,0,1,2,2,3,1,3,2,5,0,0,1,5,0,0,2,0,0,1,0,1,29,0,29
2006,"Enteroparasites and malnutrition in hospitalized children, Guarapuava, State of Paraná, Brazil",16799291,"Acta Scientiarum - Health Sciences","28","2",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,3
2006,"Bothrops moojeni myotoxin-II, a Lys49-phospholipase A2 homologue: An example of function versatility of snake venom proteins",15320456,"Comparative Biochemistry and Physiology - C Toxicology and Pharmacology","142","3-4 SPEC. ISS.",0,0,0,0,0,0,2,5,4,6,6,5,2,6,6,6,5,1,2,7,5,5,4,8,3,9,1,98,0,98
2005,"Effect of salivary gland extract of Leishmania vector, Lutzomyia longipalpis, on leukocyte migration in OVA-induced immune peritonitis",00142980,"European Journal of Immunology","35","8",0,0,0,0,0,0,1,0,1,1,1,2,3,1,2,0,1,1,1,0,0,2,0,0,0,0,0,17,0,17
