"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Caldas I.F.R.; Paim I.D.M.; Leite K.T.F.; de Mello Junior H.D.; Bataglia P.U.R.; Martins R.A.; Pereira A.","Caldas, Ivete Furtado Ribeiro (56106211700); Paim, Igor de Moraes (57912572100); Leite, Karla Tereza Figueiredo (57466070500); de Mello Junior, Harold Dias (56308325700); Bataglia, Patrícia Unger Raphael (36545013000); Martins, Raul Aragão (24465732900); Pereira, Antonio (56962776600)","56106211700; 57912572100; 57466070500; 56308325700; 36545013000; 24465732900; 56962776600","Out of sight out of mind: Psychological distance and opinion about the age of penal majority","2022","Frontiers in Psychology","13","","763335","","","","2","10.3389/fpsyg.2022.763335","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139150407&doi=10.3389%2ffpsyg.2022.763335&partnerID=40&md5=27f806611dd80f5856691f48c4487462","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85139150407"
"Dias I.A.; Bahia C.P.; Franca J.G.; Houzel J.C.; Lent R.; Mayer A.O.; Santiago L.F.; Silveira L.C.L.; Picanço-Diniz C.W.; Pereira A.","Dias, I.A. (15623184500); Bahia, C.P. (6505851168); Franca, J.G. (7005735149); Houzel, J.C. (6508375191); Lent, R. (55245100400); Mayer, A.O. (56646692400); Santiago, L.F. (15623838900); Silveira, L.C.L. (35577484500); Picanço-Diniz, C.W. (6701676103); Pereira, Antonio (56962776600)","15623184500; 6505851168; 7005735149; 6508375191; 55245100400; 56646692400; 15623838900; 35577484500; 6701676103; 56962776600","Topography and architecture of visual and somatosensory areas of the agouti","2014","Journal of Comparative Neurology","522","11","","2576","2593","17","13","10.1002/cne.23550","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84901596452&doi=10.1002%2fcne.23550&partnerID=40&md5=96bd6f5b6111a4f4729ed90423bb54bf","Article","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-84901596452"
"Krejcová L.V.; Bento-Torres J.; Diniz D.G.; Pereira A., Jr.; Batista-de-Oliveira M.; de Morais A.A.C.L.; Mendes-da-Silva R.F.; Abadie-Guedes R.; dos Santos Â.A.; Lima D.S.; Guedes R.C.A.; Picanço-Diniz C.W.","Krejcová, Lane Viana (57218311036); Bento-Torres, João (15045895500); Diniz, Daniel Guerreiro (36195579100); Pereira, Antonio (56962776600); Batista-de-Oliveira, Manuella (55191367400); de Morais, Andreia Albuquerque Cunha Lopes (59147720300); Mendes-da-Silva, Rosângela Figueiredo (55191367200); Abadie-Guedes, Ricardo (15730147500); dos Santos, Ângela Amâncio (14625104200); Lima, Denise Sandrelly (56594490800); Guedes, Rubem Carlos Araujo (7103388671); Picanço-Diniz, Cristovam Wanderley (6701676103)","57218311036; 15045895500; 36195579100; 56962776600; 55191367400; 59147720300; 55191367200; 15730147500; 14625104200; 56594490800; 7103388671; 6701676103","Unraveling the Influence of Litter Size, Maternal Care, Exercise, and Aging on Neurobehavioral Plasticity and Dentate Gyrus Microglia Dynamics in Male Rats","2024","Brain Sciences","14","5","497","","","","2","10.3390/brainsci14050497","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194380253&doi=10.3390%2fbrainsci14050497&partnerID=40&md5=0b760c1cfb5f0b42107d7c05e08129ff","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85194380253"
"Marini M.; Sriram N.; Schnabel K.; Maliszewski N.; Devos T.; Ekehammar B.; Wiers R.; Cai H.; Somogyi M.; Shiomura K.; Schnall S.; Neto F.; Bar-Anan Y.; Vianello M.; Ayala A.; Dorantes G.; Park J.; Kesebir S.; Pereirax A.; Tulbure B.; Ortner T.; Stepanikova I.; Greenwald A.G.; Nosek B.A.","Marini, Maddalena (54791202100); Sriram, Natarajan (6602450279); Schnabel, Konrad (7005647922); Maliszewski, Norbert (6507683357); Devos, Thierry (6603669646); Ekehammar, Bo (7004024201); Wiers, Reinout (6701516741); Cai, HuaJian (7202853193); Somogyi, Mónika (35726166300); Shiomura, Kimihiro (6602644335); Schnall, Simone (17346586800); Neto, Félix (35557320600); Bar-Anan, Yoav (15055305000); Vianello, Michelangelo (57192184601); Ayala, Alfonso (35725222000); Dorantes, Gabriel (25640958400); Park, Jaihyun (57196406472); Kesebir, Selin (24490570900); Pereirax, Antonio (56962776600); Tulbure, Bogdan (35726143100); Ortner, Tuulia (8631979900); Stepanikova, Irena (15763824500); Greenwald, Anthony G. (7102946617); Nosek, Brian A. (6602443500)","54791202100; 6602450279; 7005647922; 6507683357; 6603669646; 7004024201; 6701516741; 7202853193; 35726166300; 6602644335; 17346586800; 35557320600; 15055305000; 57192184601; 35725222000; 25640958400; 57196406472; 24490570900; 56962776600; 35726143100; 8631979900; 15763824500; 7102946617; 6602443500","Overweight people have low levels of implicit weight bias, but overweight nations have high levels of implicit weight bias","2013","PLoS ONE","8","12","e83543","","","","92","10.1371/journal.pone.0083543","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84892937502&doi=10.1371%2fjournal.pone.0083543&partnerID=40&md5=1209bfc1c97abd50d4c2351fe03f1ff8","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-84892937502"
"Barbosa A.F.; Souza B.C.; Ferro D.; Pantoja A.L.H.; Dória A.D.; Pereira Jr. A.; Guerreiro A.M.G.","Barbosa, André F. (36717331400); Souza, Bryan C. (36727147000); Ferro, Dayara (36812966900); Pantoja, André L. H. (36814370800); Dória, Adrião D. (7102618949); Pereira Jr., Antônio (56962776600); Guerreiro, Ana M.G. (15055841900)","36717331400; 36727147000; 36812966900; 36814370800; 7102618949; 56962776600; 15055841900","Exploring preprocessing techniques in a three-class brain-machine interface","2010","2010 Annual International Conference of the IEEE Engineering in Medicine and Biology Society, EMBC'10","","","5627382","4242","4245","3","0","10.1109/IEMBS.2010.5627382","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650808668&doi=10.1109%2fIEMBS.2010.5627382&partnerID=40&md5=4b563df2fdf6422673a4951027541f4e","Conference paper","Final","","Scopus","2-s2.0-78650808668"
"Guimaraes J.S.; Lemos N.A.M.; Freire M.A.M.; Pereira A.; Ribeiro S.","Guimaraes, Joanilson S. (8103722600); Lemos, Nelson Alessandretti M. (22135559700); Freire, Marco Aurelio M. (57193482124); Pereira, Antonio (56962776600); Ribeiro, Sidarta (7102629648)","8103722600; 22135559700; 57193482124; 56962776600; 7102629648","Microelectrode implants, inflammatory response and long-lasting effects on NADPH diaphorase neurons in the rat frontal cortex","2022","Experimental Brain Research","240","10","","2569","2580","11","1","10.1007/s00221-022-06434-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135614782&doi=10.1007%2fs00221-022-06434-3&partnerID=40&md5=e081856ac2237643009477556e659d09","Article","Final","","Scopus","2-s2.0-85135614782"
"de Araújo Costa Folha O.A.; Bahia C.P.; de Aguiar G.P.S.; Herculano A.M.; Coelho N.L.G.; de Sousa M.B.C.; Shiramizu V.K.M.; de Menezes Galvão A.C.; de Carvalho W.A.; Pereira A.","de Araújo Costa Folha, Otávio Augusto (57193552518); Bahia, Carlomagno Pacheco (6505851168); de Aguiar, Gisele Priscila Soares (57193552238); Herculano, Anderson Manoel (8230111200); Coelho, Nicole Leite Galvão (24502938400); de Sousa, Maria Bernardete Cordeiro (7103201354); Shiramizu, Victor Kenji Medeiros (55735140900); de Menezes Galvão, Ana Cecília (57160164600); de Carvalho, Walther Augusto (7004216205); Pereira, Antonio (56962776600)","57193552518; 6505851168; 57193552238; 8230111200; 24502938400; 7103201354; 55735140900; 57160164600; 7004216205; 56962776600","Effect of chronic stress during adolescence in prefrontal cortex structure and function","2017","Behavioural Brain Research","326","","","44","51","7","40","10.1016/j.bbr.2017.02.033","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014874939&doi=10.1016%2fj.bbr.2017.02.033&partnerID=40&md5=b015710c8285348507fe268d6e6dcd1b","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85014874939"
"Pereira A.","Pereira, Antonio (56962776600)","56962776600","Long-Term Neurological Threats of COVID-19: A Call to Update the Thinking About the Outcomes of the Coronavirus Pandemic","2020","Frontiers in Neurology","11","","308","","","","41","10.3389/fneur.2020.00308","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084253012&doi=10.3389%2ffneur.2020.00308&partnerID=40&md5=22190182b47718959ad50b234ad3f642","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85084253012"
"Lameira A.P.; Guimarães-Silva S.; Ferreira F.M.; Lima L.V.; Pereira Jr. A.; Gawryszewski L.G.","Lameira, Alan Pablo (16039732800); Guimarães-Silva, S. (6504243653); Ferreira, F.M. (35997766800); Lima, L.V. (57213489367); Pereira Jr., A. (56962776600); Gawryszewski, L.G. (6602639311)","16039732800; 6504243653; 35997766800; 57213489367; 56962776600; 6602639311","Hand posture and motor imagery: A body-part recognition study","2008","Revista Brasileira de Fisioterapia","12","5","","379","385","6","6","10.1590/s1413-35552008000500007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-58149197656&doi=10.1590%2fs1413-35552008000500007&partnerID=40&md5=90cd851e448416acc2277a7961616b12","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-58149197656"
"Pereira A.; Balen S.A.; Pereira S.A.","Pereira, Antonio (56962776600); Balen, Sheila Andreoli (35486696800); Pereira, Silvana Alves (56105903000)","56962776600; 35486696800; 56105903000","Editorial: Postnatal brain development in moderate and late preterm infants: challenges and context-relevant interventions","2024","Frontiers in Psychology","15","","1511981","","","","1","10.3389/fpsyg.2024.1511981","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85209350194&doi=10.3389%2ffpsyg.2024.1511981&partnerID=40&md5=f934fb1fa401a403ac2b716e1d75fb60","Editorial","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85209350194"
