"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Seabra A.D.; Moraes S.A.S.; Batista E.J.O.; Garcia T.B.; Souza M.C.; Oliveira K.R.M.; Herculano A.M.","Seabra, A.D. (55403584100); Moraes, S.A.S. (59454644600); Batista, E.J.O. (54899242700); Garcia, T.B. (56351993100); Souza, M.C. (57193407369); Oliveira, K.R.M. (26321749600); Herculano, A.M. (8230111200)","55403584100; 59454644600; 54899242700; 56351993100; 57193407369; 26321749600; 8230111200","Local inhibition of nitrergic activity in tenotomized rats accelerates muscle regeneration by increasing fiber area and decreasing central core lesions","2017","Brazilian Journal of Medical and Biological Research","50","3","e5556","","","","2","10.1590/1414-431X20165556","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013652021&doi=10.1590%2f1414-431X20165556&partnerID=40&md5=3afe7217292502d0a875b313fe74662b","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85013652021"
"Borges S.D.L.; de Macedo E.D.S.; da Silva F.A.V.; Ataíde B.J.D.A.; Mendes N.D.S.F.; Passos A.D.C.F.; de Moraes S.A.S.; Herculano A.M.; Oliveira K.R.H.M.; Bahia C.P.; Dolabella S.S.; Batista E.D.J.O.","Borges, Samuel da Luz (59237796800); de Macedo, Eberson da Silva (59238410000); da Silva, Felipe Alexandre Vinagre (59237953100); Ataíde, Brenda Jaqueline de Azevedo (57219436950); Mendes, Nívia de Souza Franco (57219443296); Passos, Adelaide da Conceição Fonseca (57196356505); de Moraes, Suellen Alessandra Soares (55783002300); Herculano, Anderson Manoel (8230111200); Oliveira, Karen Renata Herculano Matos (26321749600); Bahia, Carlomagno Pacheco (6505851168); Dolabella, Silvio Santana (15732742800); Batista, Evander de Jesus Oliveira (54899242700)","59237796800; 59238410000; 59237953100; 57219436950; 57219443296; 57196356505; 55783002300; 8230111200; 26321749600; 6505851168; 15732742800; 54899242700","Experimental Granulomatous Amebic Encephalitis Caused by Acanthamoeba castellanii","2024","Tropical Medicine and Infectious Disease","9","7","145","","","","4","10.3390/tropicalmed9070145","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199912610&doi=10.3390%2ftropicalmed9070145&partnerID=40&md5=93087f2aea2babe3fb3eb23a30b32fc4","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85199912610"
"Lima M.G.; Silva R.X.C.; Silva S.N.S.; Rodrigues L.S.S.; Oliveira K.R.H.M.; Batista E.J.O.; Maximino C.; Herculano A.M.","Lima, Monica Gomes (24461827200); Silva, Rhayra Xavier do Carmo (56797324300); Silva, Suéllen de Nazaré dos Santos (56797401000); Rodrigues, Lais do Socorro dos Santos (56883818400); Oliveira, Karen Renata Herculano Matos (26321749600); Batista, Evander de Jesus Oliveira (54899242700); Maximino, Caio (24776595300); Herculano, Anderson Manoel (8230111200)","24461827200; 56797324300; 56797401000; 56883818400; 26321749600; 54899242700; 24776595300; 8230111200","Time-dependent sensitization of stress responses in zebrafish: A putative model for post-traumatic stress disorder","2016","Behavioural Processes","128","","","70","82","12","38","10.1016/j.beproc.2016.04.009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963954980&doi=10.1016%2fj.beproc.2016.04.009&partnerID=40&md5=576a556fa33a3f1792c1993d8910303f","Article","Final","","Scopus","2-s2.0-84963954980"
"Araújo Q.M.D.S.; Silva J.R.S.; de Carvalho C.C.N.; Lima P.D.; Silva A.R.S.T.; Jain S.; Dantas-Torres F.; Batista E.D.J.O.; Santos I.G.D.A.; Dolabella S.S.","Araújo, Quezia Machado dos Santos (59744081300); Silva, José Rodrigo Santos (57191611247); de Carvalho, Cláudia Csekö Nolasco (57483492200); Lima, Pedro Dantas (57219705517); Silva, Audrey Rouse Soares Tavares (57194450488); Jain, Sona (24773043200); Dantas-Torres, Filipe (8966709300); Batista, Evander de Jesus Oliveira (54899242700); Santos, Israel Gomes de Amorim (57217054403); Dolabella, Silvio Santana (15732742800)","59744081300; 57191611247; 57483492200; 57219705517; 57194450488; 24773043200; 8966709300; 54899242700; 57217054403; 15732742800","Spatiotemporal analysis of environmental factors associated with visceral leishmaniasis in northeastern Brazil, 2007–2022","2025","Scientific Reports","15","1","25186","","","","1","10.1038/s41598-025-11366-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010632960&doi=10.1038%2fs41598-025-11366-3&partnerID=40&md5=ff43ab5adf7493ed8b6bc4a1043b9016","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105010632960"
"Pinheiro E.F.; Cardoso P.B.; Luz W.L.; Assad N.; Santos-Silva M.; Leão L.K.R.; de Moraes S.A.S.; Passos A.D.C.; Batista E.D.J.O.; Oliveira K.R.H.M.; Gouveia A., Jr.; Herculano A.M.","Pinheiro, Emerson Feio (58185912700); Cardoso, Patrick Bruno (57216070257); Luz, Waldo Lucas (57205571240); Assad, Nadyme (57211667252); Santos-Silva, Mateus (57211668818); Leão, Luana Ketlen Reis (49863477800); de Moraes, Suellen Alessandra Soares (55783002300); Passos, Adelaide da Conceição (57196356505); Batista, Evander de Jesus Oliveira (54899242700); Oliveira, Karen Renata Herculano Matos (26321749600); Gouveia, Amauri (8238330700); Herculano, Anderson Manoel (8230111200)","58185912700; 57216070257; 57205571240; 57211667252; 57211668818; 49863477800; 55783002300; 57196356505; 54899242700; 26321749600; 8238330700; 8230111200","Putative Activation of Cannabinoid Receptor Type 1 Prevents Brain Oxidative Stress and Inhibits Aggressive-Like Behavior in Zebrafish","2024","Cannabis and Cannabinoid Research","9","1","","65","73","8","9","10.1089/can.2022.0146","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184793855&doi=10.1089%2fcan.2022.0146&partnerID=40&md5=922b19d02435bd32449eb8dca90c8fef","Article","Final","","Scopus","2-s2.0-85184793855"
"Maximino C.; Gemaque J.; Benzecry R.; Lima M.G.; Batista E.D.J.O.; Picanço-Diniz D.W.; Oliveira K.R.M.; Herculano A.M.","Maximino, Caio (24776595300); Gemaque, Julliany (56436736700); Benzecry, Rancés (55507993000); Lima, Monica Gomes (24461827200); Batista, Evander De Jesus Oliveira (54899242700); Picanço-Diniz, Domingos Wanderley (6603596431); Oliveira, Karen Renata Matos (26321749600); Herculano, Anderson Manoel (8230111200)","24776595300; 56436736700; 55507993000; 24461827200; 54899242700; 6603596431; 26321749600; 8230111200","Role of nitric oxide in the behavioral and neurochemical effects of IB-MECA in zebrafish","2015","Psychopharmacology","232","10","","1671","1680","9","7","10.1007/s00213-014-3799-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940006442&doi=10.1007%2fs00213-014-3799-4&partnerID=40&md5=f33edc339f9f07eef21e2c39fa5a741b","Article","Final","","Scopus","2-s2.0-84940006442"
"Lima M.G.; Maximino C.; Matos Oliveira K.R.; Brasil A.; Crespo-Lopez M.E.; Batista E.D.J.O.; Rocha F.A.D.F.; Picanço-Diniz D.L.W.; Herculano A.M.","Lima, Monica Gomes (24461827200); Maximino, Caio (24776595300); Matos Oliveira, Karen Renata (26321749600); Brasil, Alódia (55971897700); Crespo-Lopez, Maria Elena (8230111500); Batista, Evander De Jesus Oliveira (54899242700); Rocha, Fernando Allan De Farias (16231200100); Picanço-Diniz, Domingos Luiz Wanderley (6603596431); Herculano, Anderson Manoel (8230111200)","24461827200; 24776595300; 26321749600; 55971897700; 8230111500; 54899242700; 16231200100; 6603596431; 8230111200","Nitric oxide as a regulatory molecule in the processing of the visual stimulus","2014","Nitric Oxide - Biology and Chemistry","36","","","44","50","6","18","10.1016/j.niox.2013.10.011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890817061&doi=10.1016%2fj.niox.2013.10.011&partnerID=40&md5=8c19db1a5596757870d039c4e45ab519","Review","Final","","Scopus","2-s2.0-84890817061"
"Moraes E.R.S.; Grisolia A.B.A.; Oliveira K.R.M.; Picanço-Diniz D.L.W.; Crespo-López M.E.; Maximino C.; Batista E.J.O.; Herculano A.M.","Moraes, Edinaldo Rogério da Silva (55387949500); Grisolia, Alan Barroso Araújo (49863403400); Oliveira, Karen Renata Matos (26321749600); Picanço-Diniz, Domingos Luiz Wanderley (6603596431); Crespo-López, Maria Elena (8230111500); Maximino, Caio (24776595300); Batista, Evander de Jesus Oliveira (54899242700); Herculano, Anderson Manoel (8230111200)","55387949500; 49863403400; 26321749600; 6603596431; 8230111500; 24776595300; 54899242700; 8230111200","Determination of glutamate uptake by high performance liquid chromatography (HPLC) in preparations of retinal tissue","2012","Journal of Chromatography B: Analytical Technologies in the Biomedical and Life Sciences","907","","","1","6","5","22","10.1016/j.jchromb.2012.07.027","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867404272&doi=10.1016%2fj.jchromb.2012.07.027&partnerID=40&md5=947e28ab2a4d0a5cd11760629c8bd2dd","Article","Final","","Scopus","2-s2.0-84867404272"
"Martins L.C.; Silva M.D.S.; Pinheiro E.F.; da Penha L.K.R.L.; Passos A.D.C.F.; de Moraes S.A.S.; Batista E.D.J.O.; Herculano A.M.; Oliveira K.R.H.M.","Martins, Luana Carvalho (58186079900); Silva, Mateus dos Santos (58186080000); Pinheiro, Emerson Feio (58185912700); da Penha, Luana Ketlen Reis Leão (57278333000); Passos, Adelaide da Conceição Fonseca (57196356505); de Moraes, Suellen Alessandra Soares (55783002300); Batista, Evander de Jesus Oliveira (54899242700); Herculano, Anderson Manoel (8230111200); Oliveira, Karen Renata Herculano Matos (26321749600)","58186079900; 58186080000; 58185912700; 57278333000; 57196356505; 55783002300; 54899242700; 8230111200; 26321749600","Cochlear glial cells mediate glutamate uptake through a sodium-independent transporter","2023","Hearing Research","432","","108753","","","","0","10.1016/j.heares.2023.108753","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152669422&doi=10.1016%2fj.heares.2023.108753&partnerID=40&md5=243c5d15fb37f47bc73b491df0f010b0","Article","Final","","Scopus","2-s2.0-85152669422"
"Lima M.G.; Silva S.D.N.D.S.; Silva R.X.D.C.; Oliveira K.R.H.M.; Batista E.D.J.O.; Maximino C.; Herculano A.M.","Lima, Monica Gomes (24461827200); Silva, Suéllen De Nazaré Dos Santos (56797401000); Silva, Rhayra Xavier Do Carmo (56797324300); Oliveira, Karen Renata Herculano Matos (26321749600); Batista, Evander De Jesus Oliveira (54899242700); Maximino, Caio (24776595300); Herculano, Anderson Manoel (8230111200)","24461827200; 56797401000; 56797324300; 26321749600; 54899242700; 24776595300; 8230111200","Putative involvement of the nitrergic system on the consolidation, but not initiation, of behavioral sensitization after conspecific alarm substance in zebrafish","2015","Pharmacology Biochemistry and Behavior","139","","","127","133","6","12","10.1016/j.pbb.2015.08.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949534273&doi=10.1016%2fj.pbb.2015.08.005&partnerID=40&md5=40169e2650e90c3cd37c7efe621a94ca","Article","Final","","Scopus","2-s2.0-84949534273"
