,"Author: Gomes, Bruno Duarte",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"h-index = 11 (Of the 39 documents considered for the h-index, 11 have been cited at least 11 times.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,<2001,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Subtotal,>2026,Total
2015,"Anticipatory EEG Signals for Detecting and Classifying Game Interaction Onset",,"Proceedings - 2015 17th Symposium on Virtual and Augmented Reality, SVR 2015","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,2
2015,"The spatial properties of L- and M-cone inputs to electroretinograms that reflect different types of post-receptoral processing",19326203,"PLoS ONE","10","3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,4,0,6,1,1,1,0,2,22,0,22
2015,"Optical coherence tomography and multifocal electroretinography of patients with advanced neovascular age-related macular degeneration before, during, and after treatment with ranibizumab",00042749,"Arquivos Brasileiros de Oftalmologia","78","2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,1,0,5,0,5
2014,"Ganglion cell and displaced amacrine cell density distribution in the retina of the howler monkey (Alouatta caraya)",19326203,"PLoS ONE","9","12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,0,2,3,4,3,1,5,0,0,26,0,26
2013,"Contrast sensitivity of pattern transient VEP components: Contribution from M and P pathways",19843054,"Psychology and Neuroscience","6","2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,0,0,1,5,0,11,0,11
2013,"Visual Evoked Cortical Potential (VECP) Elicited by Sinusoidal Gratings Controlled by Pseudo-Random Stimulation",19326203,"PLoS ONE","8","8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,1,0,5,0,5
2013,"Multifocal electroretinography after high dose chloroquine therapy for malaria",20082010,"Journal of Ophthalmic and Vision Research","8","3",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,3
2013,"Chromatic spatial contrast sensitivity estimated by visual evoked cortical potential and psychophysics",0100879X,"Brazilian Journal of Medical and Biological Research","46","2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,1,0,1,1,0,7,0,7
2012,"Comparison of the reliability of multifocal visual evoked cortical potentials generated by pattern reversal and pattern pulse stimulation",0100879X,"Brazilian Journal of Medical and Biological Research","45","10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,5,0,5
2012,"Bone marrow cells of swine: Collection and separation",1059910X,"Microscopy Research and Technique","75","7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,6,0,6
