"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Martins J.D.N.; Souza L.M.M.D.A.; Alencar L.Y.N.; Almeida P.H.F.D.; Meireles C.D.D.L.; dos Santos S.M.; Lima K.C.N.; Bahia G.M.D.C.; Leão da Penha L.K.R.; da Silva A.M.H.O.; Oliveira K.R.H.M.; Bahia C.P.; Monteiro M.C.","Martins, Jaqueline Dantas Neres (60563009300); Souza, Lisa Maria Mendes de Almeida (58490001700); Alencar, Leonardo Yuji Nihira (59304999800); Almeida, Pedro Henrique Freitas de (60585841000); Meireles, Caio Demetrius de Lima (60585767700); dos Santos, Sávio Monteiro (57205649677); Lima, Kely Campos Navegantes (58490376700); Bahia, Gabriel Mesquita da Conceição (60035169400); Leão da Penha, Luana Ketlen Reis (60585694000); da Silva, Anderson Manoel Herculano Oliveira (57158308000); Oliveira, Karen Renata Herculano Matos (26321749600); Bahia, Carlomagno Pacheco (6505851168); Monteiro, Marta Chagas (35552167300)","60563009300; 58490001700; 59304999800; 60585841000; 60585767700; 57205649677; 58490376700; 60035169400; 60585694000; 57158308000; 26321749600; 6505851168; 35552167300","Sex-Dependent Behavioral and Biochemical Alterations in a Prenatal Oral Valproic Acid Rat Model of Autism","2026","ACS Chemical Neuroscience","17","8","","1490","1504","14","0","10.1021/acschemneuro.5c00754","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105035916845&doi=10.1021%2facschemneuro.5c00754&partnerID=40&md5=b9449b0f1109db26f5b5847734ab5138","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105035916845"
"Bahia C.P.; Vianna-Barbosa R.J.; Tovar-Moll F.; Lent R.","Bahia, Carlomagno Pacheco (6505851168); Vianna-Barbosa, Rodrigo Jorge (56185715600); Tovar-Moll, Fernanda (15133079200); Lent, Roberto (55245100400)","6505851168; 56185715600; 15133079200; 55245100400","Terminal Arbors of Callosal Axons Undergo Plastic Changes in Early-Amputated Rats","2019","Cerebral Cortex","29","4","","1460","1472","12","4","10.1093/cercor/bhy043","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061966012&doi=10.1093%2fcercor%2fbhy043&partnerID=40&md5=cb050ff4fe1c4c87f8c190efdb52a07e","Article","Final","","Scopus","2-s2.0-85061966012"
"da Rocha E.G.; Freire M.A.M.; Bahia C.P.; Pereira A.; Sosthenes M.C.K.; Silveira L.C.L.; Elston G.N.; Picanço-Diniz C.W.","da Rocha, E.G. (55224690100); Freire, M.A.M. (57193482124); Bahia, C.P. (6505851168); Pereira, A. (56962776600); Sosthenes, M.C.K. (55224737400); Silveira, L.C.L. (35577484500); Elston, G.N. (7004202444); Picanço-Diniz, C.W. (6701676103)","55224690100; 57193482124; 6505851168; 56962776600; 55224737400; 35577484500; 7004202444; 6701676103","Dendritic structure varies as a function of eccentricity in V1: A quantitative study of NADPH diaphorase neurons in the diurnal South American rodent agouti, Dasyprocta prymnolopha","2012","Neuroscience","216","","","94","102","8","11","10.1016/j.neuroscience.2012.04.042","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84862024875&doi=10.1016%2fj.neuroscience.2012.04.042&partnerID=40&md5=572baecc6eb65d7c8a7fff2c81a0d75c","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84862024875"
"de Araújo Costa Folha O.A.; Bahia C.P.; de Aguiar G.P.S.; Herculano A.M.; Coelho N.L.G.; de Sousa M.B.C.; Shiramizu V.K.M.; de Menezes Galvão A.C.; de Carvalho W.A.; Pereira A.","de Araújo Costa Folha, Otávio Augusto (57193552518); Bahia, Carlomagno Pacheco (6505851168); de Aguiar, Gisele Priscila Soares (57193552238); Herculano, Anderson Manoel (8230111200); Coelho, Nicole Leite Galvão (24502938400); de Sousa, Maria Bernardete Cordeiro (7103201354); Shiramizu, Victor Kenji Medeiros (55735140900); de Menezes Galvão, Ana Cecília (57160164600); de Carvalho, Walther Augusto (7004216205); Pereira, Antonio (56962776600)","57193552518; 6505851168; 57193552238; 8230111200; 24502938400; 7103201354; 55735140900; 57160164600; 7004216205; 56962776600","Effect of chronic stress during adolescence in prefrontal cortex structure and function","2017","Behavioural Brain Research","326","","","44","51","7","40","10.1016/j.bbr.2017.02.033","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014874939&doi=10.1016%2fj.bbr.2017.02.033&partnerID=40&md5=b015710c8285348507fe268d6e6dcd1b","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85014874939"
"Borges S.D.L.; de Macedo E.D.S.; da Silva F.A.V.; Ataíde B.J.D.A.; Mendes N.D.S.F.; Passos A.D.C.F.; de Moraes S.A.S.; Herculano A.M.; Oliveira K.R.H.M.; Bahia C.P.; Dolabella S.S.; Batista E.D.J.O.","Borges, Samuel da Luz (59237796800); de Macedo, Eberson da Silva (59238410000); da Silva, Felipe Alexandre Vinagre (59237953100); Ataíde, Brenda Jaqueline de Azevedo (57219436950); Mendes, Nívia de Souza Franco (57219443296); Passos, Adelaide da Conceição Fonseca (57196356505); de Moraes, Suellen Alessandra Soares (55783002300); Herculano, Anderson Manoel (8230111200); Oliveira, Karen Renata Herculano Matos (26321749600); Bahia, Carlomagno Pacheco (6505851168); Dolabella, Silvio Santana (15732742800); Batista, Evander de Jesus Oliveira (54899242700)","59237796800; 59238410000; 59237953100; 57219436950; 57219443296; 57196356505; 55783002300; 8230111200; 26321749600; 6505851168; 15732742800; 54899242700","Experimental Granulomatous Amebic Encephalitis Caused by Acanthamoeba castellanii","2024","Tropical Medicine and Infectious Disease","9","7","145","","","","4","10.3390/tropicalmed9070145","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199912610&doi=10.3390%2ftropicalmed9070145&partnerID=40&md5=93087f2aea2babe3fb3eb23a30b32fc4","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85199912610"
"Oliveira K.R.H.M.; Torres M.L.M.; Kauffmann N.; de Azevedo Ataíde B.J.; de Souza Franco Mendes N.; dos Anjos L.M.; dos Santos Borges R.; Bahia C.P.; Leão L.K.R.; da Conceição Fonseca Passos A.; Herculano A.M.; de Jesus Oliveira Batista E.","Oliveira, Karen Renata Herculano Matos (26321749600); Torres, Marjorie Lujan Marques (57219437274); Kauffmann, Nayara (57196355861); de Azevedo Ataíde, Brenda Jaqueline (57403667500); de Souza Franco Mendes, Nívia (57403491100); dos Anjos, Larissa Medeiros (57205585984); dos Santos Borges, Rosivaldo (7005086504); Bahia, Carlomagno Pacheco (6505851168); Leão, Luana Ketlen Reis (49863477800); da Conceição Fonseca Passos, Adelaide (57205577007); Herculano, Anderson Manoel (8230111200); de Jesus Oliveira Batista, Evander (59662892300)","26321749600; 57219437274; 57196355861; 57403667500; 57403491100; 57205585984; 7005086504; 6505851168; 49863477800; 57205577007; 8230111200; 59662892300","Euterpe oleracea fruit (Açai)-enriched diet suppresses the development of experimental cerebral malaria induced by Plasmodium berghei (ANKA) infection","2022","BMC Complementary Medicine and Therapies","22","1","11","","","","8","10.1186/s12906-021-03495-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122459431&doi=10.1186%2fs12906-021-03495-9&partnerID=40&md5=d3cd5df7e322b188a9c169b164eefc67","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85122459431"
"Moura M.V.N.; Mesquita da Conceição Bahia G.; Gonçalves Correa M.; Araujo Sarges M.A.; Lobão T.A.; Sanches E.M.; Oliveira K.R.H.M.; Herculano A.M.; Bahia C.P.","Moura, Maria Vitoria Nava (58707572200); Mesquita da Conceição Bahia, Gabriel (58614382800); Gonçalves Correa, Marcio (58614087000); Araujo Sarges, Maíza Amanda (58613942100); Lobão, Thaís Alves (58613942200); Sanches, Erica Miranda (57191479013); Oliveira, Karen R. H. Matos (26321749600); Herculano, Anderson Manoel (8230111200); Bahia, Carlomagno Pacheco (6505851168)","58707572200; 58614382800; 58614087000; 58613942100; 58613942200; 57191479013; 26321749600; 8230111200; 6505851168","Neuroprotective effects of crude extracts, compounds, and isolated molecules obtained from plants in the central nervous system injuries: a systematic review","2023","Frontiers in Neuroscience","17","","1249685","","","","12","10.3389/fnins.2023.1249685","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171998315&doi=10.3389%2ffnins.2023.1249685&partnerID=40&md5=8148f0575e9be7c6831cf84a7d8e9260","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85171998315"
"Corrêa M.G.; Lobão T.A.; da Conceição Bahia G.M.; Aires E.M.S.; da Costa Gomes R.; de Queiroz J.H.M.; Monteiro M.C.; Bahia C.P.","Corrêa, Marcio Gonçalves (57202423898); Lobão, Thais Alves (58613942200); da Conceição Bahia, Gabriel Mesquita (59404897600); Aires, Erica Miranda Sanches (60022857200); da Costa Gomes, Rebeca (60023141400); de Queiroz, Jeffeson Hildo Medeiros (57716322500); Monteiro, Marta Chagas (35552167300); Bahia, Carlomagno Pacheco (6505851168)","57202423898; 58613942200; 59404897600; 60022857200; 60023141400; 57716322500; 35552167300; 6505851168","Biochemical neuroplasticity in the cerebellum after physical exercise: Systematic review and meta-analysis","2025","PLOS ONE","20","8 August","e0309259","","","","3","10.1371/journal.pone.0309259","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012180957&doi=10.1371%2fjournal.pone.0309259&partnerID=40&md5=7a2c1749bc75f0bcc9840d28c10cbad8","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105012180957"
"Queiroz J.H.M.D.; Bahia G.M.D.C.; Corrêa M.G.; Gomes R.D.C.; Lobão T.A.; Aires E.M.S.; Batista E.D.J.O.; Bragança G.M.; Monteiro M.C.; Bahia C.P.","Queiroz, Jeffeson Hildo Medeiros de (60230077800); Bahia, Gabriel Mesquita da Conceição (60035169400); Corrêa, Marcio Gonçalves (57202423898); Gomes, Rebeca da Costa (60035194600); Lobão, Thais Alves (58613942200); Aires, Erica Miranda Sanches (60022857200); Batista, Evander de Jesus Oliveira (54899242700); Bragança, Gláucia Mota (57196235382); Monteiro, Marta Chagas (35552167300); Bahia, Carlomagno Pacheco (6505851168)","60230077800; 60035169400; 57202423898; 60035194600; 58613942200; 60022857200; 54899242700; 57196235382; 35552167300; 6505851168","Connectomic Mapping of Chronic Musculoskeletal Pain: Neural Circuitries Identified Through a Systematic Review and ALE Meta-Analysis","2026","Neural Plasticity","2026","1","5301861","","","","0","10.1155/np/5301861","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105038473614&doi=10.1155%2fnp%2f5301861&partnerID=40&md5=83c12ca2cf4f9a5c265bb0cb08be439d","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105038473614"
"Vilhalva J.T.R.; Imbiriba B.C.D.O.; Krejcova L.V.; Bahia C.P.","Vilhalva, Jade Thalia Rodrigues (59723666700); Imbiriba, Breno Cesar de Oliveira (36337611900); Krejcova, Lane Viana (57218311036); Bahia, Carlomagno Pacheco. (6505851168)","59723666700; 36337611900; 57218311036; 6505851168","Increasing Mu wave desynchronization after dance classes on people with Parkinson’s disease","2025","Frontiers in Human Neuroscience","19","","1443730","","","","1","10.3389/fnhum.2025.1443730","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001841151&doi=10.3389%2ffnhum.2025.1443730&partnerID=40&md5=739e774ea2491ccabf5249b32326b886","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105001841151"
"Souza M.; Moraes S.A.S.; de Paula D.R.; Maciel A.A.; Batista E.J.O.; Silva D.G.F.; Bahia C.P.; Oliveira K.R.H.M.; Herculano A.M.","Souza, M. (57193407369); Moraes, S.A.S. (59454644600); de Paula, D.R. (57210898935); Maciel, A.A. (57210892776); Batista, E.J.O. (54899242700); Silva, D.G.F. (57210891426); Bahia, C.P. (6505851168); Oliveira, K.R.H.M. (26321749600); Herculano, A.M. (8230111200)","57193407369; 59454644600; 57210898935; 57210892776; 54899242700; 57210891426; 6505851168; 26321749600; 8230111200","Local treatment with ascorbic acid accelerates recovery of post-sutured achilles tendon in male wistar rats","2019","Brazilian Journal of Medical and Biological Research","52","9","e8290","","","","12","10.1590/1414-431x20198290","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071758879&doi=10.1590%2f1414-431x20198290&partnerID=40&md5=543a0463a0f605dfa632672dc49fd6e8","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85071758879"
"Carvalho W.A.; Bahia C.P.; Teixeira J.C.; Gomes-Leal W.; Pereira A.","Carvalho, Walther A. (57206329455); Bahia, Carlomagno P. (6505851168); Teixeira, Jéssica C. (57196421852); Gomes-Leal, Walace (8760628300); Pereira, Antonio (55628589788)","57206329455; 6505851168; 57196421852; 8760628300; 55628589788","Interlimb dynamic after unilateral focal lesion of the cervical dorsal corticospinal tract with endothelin-1","2017","Frontiers in Neuroanatomy","11","","89","","","","1","10.3389/fnana.2017.00089","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032904324&doi=10.3389%2ffnana.2017.00089&partnerID=40&md5=a3c7fa12bef1bb2cbc2b1068f6169e77","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85032904324"
"de Sá A.L.; Bahia C.P.; Correa V.C.; Dias I.A.; Batista C.; Gomes-Leal W.; Pinho A.L.S.; Houzel J.C.; Picanço-Diniz C.W.; Pereira A.","de Sá, A.L. (57189232865); Bahia, C.P. (6505851168); Correa, V.C. (57189245630); Dias, I.A. (15623184500); Batista, C. (59578730500); Gomes-Leal, W. (8760628300); Pinho, A.L.S. (6701695382); Houzel, J.C. (6508375191); Picanço-Diniz, C.W. (6701676103); Pereira, A. (55628589788)","57189232865; 6505851168; 57189245630; 15623184500; 59578730500; 8760628300; 6701695382; 6508375191; 6701676103; 55628589788","Morphometric analysis of feedforward pathways from the primary somatosensory area (S1) of rats","2016","Brazilian Journal of Medical and Biological Research","49","6","","","","","0","10.1590/1414-431X20155115","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84966628791&doi=10.1590%2f1414-431X20155115&partnerID=40&md5=8d45fd4d4ab3ca2d153a9ad475cbe490","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-84966628791"
"Bahia C.P.; Houzel J.-C.; Picanço-Diniz C.W.; Pereira Jr. A.","Bahia, Carlomagno Pacheco (6505851168); Houzel, Jean-Christophe (6508375191); Picanço-Diniz, Cristovam Wanderley (6701676103); Pereira Jr., Antonio (56962776600)","6505851168; 6508375191; 6701676103; 56962776600","Spatiotemporal distribution of proteoglycans in the developing rat's barrel field and the effects of early deafferentation","2008","Journal of Comparative Neurology","510","2","","145","157","12","12","10.1002/cne.21781","https://www.scopus.com/inward/record.uri?eid=2-s2.0-50249161974&doi=10.1002%2fcne.21781&partnerID=40&md5=c8fbdaaa402758caab627c5e61f05968","Article","Final","","Scopus","2-s2.0-50249161974"
