,"Author: Sosthenes, Marcia Consentino Kronka",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"h-index = 11 (Of the 38 documents considered for the h-index, 11 have been cited at least 11 times.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,<2001,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Subtotal,>2026,Total
2016,"Antibody-enhanced dengue disease generates a marked CNS inflammatory response in the black-tufted marmoset Callithrix penicillata",09196544,"Neuropathology","36","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,1,2,0,0,0,0,0,9,0,9
2016,"Virus infections on prion diseased mice exacerbate inflammatory microglial response",19420900,"Oxidative Medicine and Cellular Longevity","2016","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,2,2,0,0,0,0,8,0,8
2015,"Three-dimensional morphometric analysis of microglial changes in a mouse model of virus encephalitis: Age and environmental influences",0953816X,"European Journal of Neuroscience","42","4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,3,1,6,2,1,4,1,1,24,0,24
2013,"Enriched environment and masticatory activity rehabilitation recover spatial memory decline in aged mice",14712202,"BMC Neuroscience","14","",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1,4,2,2,5,3,4,0,0,26,0,26
2013,"Immunohistochemistry and ultrastructural characteristics of nerve endings in the oral mucosa of rat",00220744,"Journal of Electron Microscopy","62","2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,1,0,6,0,6
2013,"Aging and environmental enrichment exacerbate inflammatory response on antibody-enhanced dengue disease in immunocompetent murine model",1721727X,"European Journal of Inflammation","11","3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,1,0,0,0,0,6,0,6
2013,"Fine structure of bacterial adhesion to the epithelial cell membranes of the filiform papillae of tongue and palatine mucosa of rodents: A morphometric, TEM, and HRSEM study",1059910X,"Microscopy Research and Technique","76","12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,2,2,0,0,0,0,1,0,0,13,0,13
2013,"Morphometric, quantitative, and three-dimensional analysis of the heart muscle fibers of old rats: Transmission electron microscopy and high-resolution scanning electron microscopy methods",1059910X,"Microscopy Research and Technique","76","2",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,3,2,3,3,2,2,1,0,1,1,23,0,23
2012,"Environmental influences on antibody-enhanced dengue disease outcomes",00740276,"Memorias do Instituto Oswaldo Cruz","107","8",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,1,0,1,0,0,0,0,0,6,0,6
2012,"Aging, environmental enrichment, object recognition and astrocyte plasticity in dentate gyrus",,"Astrocytes: Structure, Functions and Role in Disease","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,4,0,4
2012,"Dendritic structure varies as a function of eccentricity in V1: A quantitative study of NADPH diaphorase neurons in the diurnal South American rodent agouti, Dasyprocta prymnolopha",03064522,"Neuroscience","216","",0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,0,1,1,1,0,0,0,1,1,0,11,0,11
2012,"Spatial memory decline after masticatory deprivation and aging is associated with altered laminar distribution of CA1 astrocytes",14712202,"BMC Neuroscience","13","1",0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,2,4,2,2,3,2,6,1,2,0,29,0,29
2006,"Palatine mucosa of aging and experimentally induced diabetic aging rabbits: Light-microscopic, scanning electron microscopic and transmission electron microscopic qualitative study",0304324X,"Gerontology","52","4",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2
2006,"Ultrastructure of the myelinated and unmyelinated nerve fibers of the tongue mucosa of albinus rat (Wistar) with aging",07179367,"International Journal of Morphology","24","3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2002,"Three-dimensional architecture of the connective tissue core and surface structures of the lingual papillae in the rabbit",02133911,"Histology and Histopathology","17","2",0,0,0,0,0,1,1,1,3,1,0,1,0,3,0,2,0,0,0,1,1,1,0,0,0,1,0,17,0,17
2002,"Coronal dentinal tubules of non-erupted deciduous incisors.",18068324,"Pesquisa odontológica brasileira = Brazilian oral research","16","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,3,0,3
2002,"Structure and microstructure of coronary dentin in non-erupted human deciduous incisor teeth.",01036440,"Brazilian dental journal","13","3",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,5,0,5
2002,"Angioarchitectural characteristics of the anterodorsal surface of aging and young rabbit tongue: Scanning electron microscopy study",09409602,"Annals of Anatomy","184","4",0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
2002,"Fine structure of the 7 postnatal days Calomys callosus palatine salivary glands",09409602,"Annals of Anatomy","184","4",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,3
2001,"Scanning electron microscopy of angioarchitecture of palatine gingiva in young rabbits.",01036440,"Brazilian dental journal","12","3",0,0,0,0,0,0,1,1,2,0,1,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,10,0,10
2000,"Corrosion casts of young rabbit palatine mucosa angioarchitecture",09409602,"Annals of Anatomy","182","6",0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,8,0,8
