,"Author: Nagamachi, Cleusa Yoshiko",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"h-index = 25 (Of the 160 documents considered for the h-index, 25 have been cited at least 25 times.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,<2001,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Subtotal,>2026,Total
2022,"The emergence of a new sex-system (XX/XY1Y2) suggests a species complex in the “monotypic” rodent Oecomys auyantepui (Rodentia, Sigmodontinae)",20452322,"Scientific Reports","12","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,7,0,7
2022,"Chromosomal Diversification in Pseudacanthicus Species (Loricariidae, Hypostominae) Revealed by Comparative Mapping of Repetitive Sequences",20762615,"Animals","12","19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,4,0,4
2022,"Kinetic Activity of Chromosomes and Expression of Recombination Genes in Achiasmatic Meiosis of Tityus (Archaeotityus) Scorpions",14220067,"International Journal of Molecular Sciences","23","16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
2022,"Chromosomal painting in Charadrius collaris Vieillot, 1818 and Vanellus chilensis Molina, 1782 and an analysis of chromosomal signatures in Charadriiformes",19326203,"PLoS ONE","17","8 August",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,4,0,4
2022,"Karyotypes of Manatees: New Insights into Hybrid Formation (Trichechus inunguis × Trichechus m. manatus) in the Amazon Estuary",20734425,"Genes","13","7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,1,1,10,0,10
2022,"Chromosome Painting in Gymnotus carapo “Catalão” (Gymnotiformes, Teleostei): Dynamics of Chromosomal Rearrangements in Cryptic Species",16648021,"Frontiers in Genetics","13","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
2022,"Chromosomal Diversification in Ancistrus Species (Siluriformes: Loricariidae) Inferred From Repetitive Sequence Analysis",16648021,"Frontiers in Genetics","13","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,3,1,9,0,9
2021,"Chromosomal painting of the sandpiper (Actitis macularius) detects several fissions for the Scolopacidae family (Charadriiformes)",27307182,"BMC Ecology and Evolution","21","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,0,0,6,0,6
2021,"Analysis of multiple chromosomal rearrangements in the genome of Willisornis vidua using BAC-FISH and chromosome painting on a supposed conserved karyotype",27307182,"BMC Ecology and Evolution","21","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,1,1,1,9,0,9
2021,"A molecular and chromosomic meta-analysis approach and its implications for the taxonomy of the genus Makalata Husson, 1978 (Rodentia, Echimyidae) including an amended diagnosis for M. macrura (Wagner, 1842)",09475745,"Journal of Zoological Systematics and Evolutionary Research","59","8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,2
