"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Da Silva Frade L.F.; De Almeida B.R.R.; Milhomem-Paixa S.S.R.; Ready J.S.; Nagamachi C.Y.; Pieczarka J.C.; Rodrigues Noronha R.C.","Da Silva Frade, Luan Felipe (58106879000); De Almeida, Bruno Rafael Ribeiro (57209211646); Milhomem-Paixa, Susana Suely Rodrigues (57209204198); Ready, Jonathan Stuart (14018480200); Nagamachi, Cleusa Yoshiko (57201041892); Pieczarka, Julio Cesar (7003386889); Rodrigues Noronha, Renata Coelho (8528389300)","58106879000; 57209211646; 57209204198; 14018480200; 57201041892; 7003386889; 8528389300","Karyoevolution of Crenicichla heckel 1840 (Cichlidae, Perciformes): A process mediated by inversions","2019","Biology Open","8","5","bio041699","","","","4","10.1242/bio.041699","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066840650&doi=10.1242%2fbio.041699&partnerID=40&md5=754f5f1b98095cc95fe6eec83a32ebf0","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85066840650"
"Costa M.J.A.; Mescouto V.A.D.; Moura A.A.D.S.; Oliveira A.D.N.D.; Lourenço L.D.F.H.; Noronha R.C.R.; Nascimento L.A.S.D.","Costa, Marcos Jhony Almeida (58497295000); Mescouto, Vanessa Albuquerque de (57205249737); Moura, Adla Asiel da Silva (60167144300); Oliveira, Alex de Nazaré de (60167422100); Lourenço, Lúcia de Fátima Henriques (38061678600); Noronha, Renata Coelho Rodrigues (8528389300); Nascimento, Luís Adriano Santos do (57193903787)","58497295000; 57205249737; 60167144300; 60167422100; 38061678600; 8528389300; 57193903787","Fish gelatin in biomedical applications: A systematic review","2026","Journal of Drug Delivery Science and Technology","115","","107627","","","","5","10.1016/j.jddst.2025.107627","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020580135&doi=10.1016%2fj.jddst.2025.107627&partnerID=40&md5=97ec4ec1b7ff7f709a857d3d630f6eb7","Review","Final","","Scopus","2-s2.0-105020580135"
"Dias K.K.B.; de Jesus G.A.; da Costa A.A.F.; Costa F.F.; Rocha Filho G.N.D.; Oliveira R.J.; Noronha R.C.R.; Nascimento L.A.S.D.","Dias, Kaio Kelvin Barros (58094875200); de Jesus, Gabriel Araújo (59303621100); da Costa, Ana Alice Farias (57200179297); Costa, Fabíola Fernandes (57211073751); Rocha Filho, Geraldo Narciso da (57214990696); Oliveira, Rodrigo Juliano (15123151700); Noronha, Renata Coelho Rodrigues (8528389300); Nascimento, Luís Adriano Santos do (57193903787)","58094875200; 59303621100; 57200179297; 57211073751; 57214990696; 15123151700; 8528389300; 57193903787","Biological activities from açaí (Euterpe spp. Mart.) seeds and their pharmacological aspects: A systematic review and meta-analysis","2024","PharmaNutrition","29","","100405","","","","6","10.1016/j.phanu.2024.100405","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202455559&doi=10.1016%2fj.phanu.2024.100405&partnerID=40&md5=4eb66541a43a21a51804f1087bb772ab","Review","Final","","Scopus","2-s2.0-85202455559"
"Vasconcelos A.A.; Gatti L.C.P.; Santos A.S.; Costi H.T.; Cassoli J.S.; Noronha R.C.R.; Rocha Filho G.N.D.; Oliveira A.D.N.D.; Nascimento L.A.S.D.","Vasconcelos, Arthur Abinader (57194348371); Gatti, Larissa Carla Pinheiro (59478392400); Santos, Alberdan Silva (7402214016); Costi, Hilton Túlio (7801443299); Cassoli, Juliana Silva (36999302600); Noronha, Renata Coelho Rodrigues (8528389300); Rocha Filho, Geraldo Narciso da (57214990696); Oliveira, Alex de Nazaré de (57203014642); Nascimento, Luís Adriano Santos do (57193903787)","57194348371; 59478392400; 7402214016; 7801443299; 36999302600; 8528389300; 57214990696; 57203014642; 57193903787","Synthesis of peroxidase@zeolite NaY complex from kaolin waste and Bactris gasipaes Kunth and use for 2-methoxyphenol oxidation","2025","Materials Letters","382","","137896","","","","0","10.1016/j.matlet.2024.137896","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85212390157&doi=10.1016%2fj.matlet.2024.137896&partnerID=40&md5=24b9e64107494b06a8422709898658cd","Article","Final","","Scopus","2-s2.0-85212390157"
"Terra de Oliveira D.; de Jesus Paiva R.; Albuquerque de Mescouto V.; Ferreira da Silva S.R.; Farias Da Costa A.A.; Santos A.V.; Gonçalves E.C.; Narciso da Rocha Filho G.; Rodrigues Noronha R.C.; Santos do Nascimento L.A.","Terra de Oliveira, Deborah (59279869700); de Jesus Paiva, Rutiléia (59180291700); Albuquerque de Mescouto, Vanessa (59278840400); Ferreira da Silva, Sara Roberta (59279869800); Farias Da Costa, Ana Alice (58174107600); Santos, Agenor Valadares (36009603300); Gonçalves, Evonnildo Costa (7004990778); Narciso da Rocha Filho, Geraldo (57226290292); Rodrigues Noronha, Renata Coelho (8528389300); Santos do Nascimento, Luís Adriano (57193903787)","59279869700; 59180291700; 59278840400; 59279869800; 58174107600; 36009603300; 7004990778; 57226290292; 8528389300; 57193903787","The potential of third-generation biodiesel from Tolypothrix sp. CACIAM22 as a feedstock","2024","Heliyon","10","16","e36343","","","","3","10.1016/j.heliyon.2024.e36343","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201616591&doi=10.1016%2fj.heliyon.2024.e36343&partnerID=40&md5=74c738f6dd03886399cfd866c1f5cd21","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85201616591"
"Noronha R.C.R.; Barros L.M.R.; Araújo R.E.F.; Marques D.F.; Nagamachi C.Y.; Martins C.; Pieczarka J.C.","Noronha, R.C.R. (8528389300); Barros, L.M.R. (57191288965); Araújo, R.E.F. (57191288886); Marques, D.F. (57188559373); Nagamachi, C.Y. (57201041892); Martins, C. (7201722502); Pieczarka, J.C. (7003386889)","8528389300; 57191288965; 57191288886; 57188559373; 57201041892; 7201722502; 7003386889","New insights of karyoevolution in the Amazonian turtles Podocnemis expansa and Podocnemis unifilis (Testudines, Podocnemidae)","2016","Molecular Cytogenetics","9","1","73","","","","11","10.1186/s13039-016-0281-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988691152&doi=10.1186%2fs13039-016-0281-5&partnerID=40&md5=869f69e76bd5df4317aa90287da0c993","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-84988691152"
"Almeida B.R.R.D.; Noronha R.C.R.; Cardoso A.L.; Martins C.; Martins J.G.; Procópio R.E.D.L.; Nagamachi C.Y.; Pieczarka J.C.","Almeida, Bruno Rafael Ribeiro de (57194060519); Noronha, Renata Coelho Rodrigues (8528389300); Cardoso, Adauto Lima (48260939600); Martins, Cesar (7201722502); Martins, Jonas Gama (57200504741); Procópio, Rudi Emerson de Lima (35273374600); Nagamachi, Cleusa Yoshiko (57201041892); Pieczarka, Julio Cesar (7003386889)","57194060519; 8528389300; 48260939600; 7201722502; 57200504741; 35273374600; 57201041892; 7003386889","Kinetic Activity of Chromosomes and Expression of Recombination Genes in Achiasmatic Meiosis of Tityus (Archaeotityus) Scorpions","2022","International Journal of Molecular Sciences","23","16","9179","","","","1","10.3390/ijms23169179","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136842498&doi=10.3390%2fijms23169179&partnerID=40&md5=5da204897e029376d4faad04c2b1b187","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85136842498"
"Tavares F.D.S.; Martins C.; Delella F.K.; Nascimento L.A.S.D.; Rodrigues A.L.F.; Moreira S.; Cardoso A.L.; Noronha R.C.R.","Tavares, Flávia dos Santos (58076765700); Martins, Cesar (7201722502); Delella, Flávia Karina (15847511600); Nascimento, Luís Adriano Santos do (57193903787); Rodrigues, Angélica Lúcia Figueiredo (57091120600); Moreira, Sávia (56165166700); Cardoso, Adauto Lima (48260939600); Noronha, Renata Coelho Rodrigues (8528389300)","58076765700; 7201722502; 15847511600; 57193903787; 57091120600; 56165166700; 48260939600; 8528389300","Establishment and Characterization of a Primary Fibroblast Cell Culture from the Amazonian Manatee (Trichechus inunguis)","2024","Animals","14","5","686","","","","7","10.3390/ani14050686","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187882529&doi=10.3390%2fani14050686&partnerID=40&md5=d946ab99c4af0fb112f2dc2fdd8b02d0","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85187882529"
"Pinon L.B.S.; Tavares F.D.S.; de Almeida B.R.R.; Martins C.; do Nascimento L.A.S.; Cardoso A.L.; Noronha R.C.R.","Pinon, Luana Beatriz Sales (59895432700); Tavares, Flávia dos Santos (58076765700); de Almeida, Bruno Rafael Ribeiro (57209211646); Martins, Cesar (7201722502); do Nascimento, Luis Adriano Santos (57193903787); Cardoso, Adauto Lima (48260939600); Noronha, Renata Coelho Rodrigues (8528389300)","59895432700; 58076765700; 57209211646; 7201722502; 57193903787; 48260939600; 8528389300","Effects of anthropogenic influences in the DNA methylation and expression of genes involved in the metabolism of Geophagus surinamensis from the Pará River (Amazon, Brazil)","2026","Ecotoxicology","35","5","110","","","","0","10.1007/s10646-026-03093-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105040594499&doi=10.1007%2fs10646-026-03093-w&partnerID=40&md5=639604a1b2c49655df474912f35e3e67","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105040594499"
"Ayres-Alves T.; Cardoso A.L.; Nagamachi C.Y.; De Sousa L.M.; Pieczarka J.C.; Noronha R.C.R.","Ayres-Alves, Thayana (57194440649); Cardoso, Adauto Lima (48260939600); Nagamachi, Cleusa Yoshiko (57201041892); De Sousa, Leandro Melo (16234940000); Pieczarka, Julio Cesar (7003386889); Noronha, Renata Coelho Rodrigues (8528389300)","57194440649; 48260939600; 57201041892; 16234940000; 7003386889; 8528389300","Karyotypic Evolution and Chromosomal Organization of Repetitive DNA Sequences in Species of Panaque, Panaqolus, and Scobinancistrus (Siluriformes and Loricariidae) from the Amazon Basin","2017","Zebrafish","14","3","","251","260","9","16","10.1089/zeb.2016.1373","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020178397&doi=10.1089%2fzeb.2016.1373&partnerID=40&md5=a43547a5e7736cc0c0230290a798e49c","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85020178397"
