,"Author: do Nascimento Borges, Bárbara",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"h-index = 18 (Of the 36 documents considered for the h-index, 18 have been cited at least 18 times.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,<2001,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Subtotal,>2026,Total
2014,"Perspectives on new biomarkers in gastric cancer: Diagnostic and prognostic applications",10079327,"World Journal of Gastroenterology","20","33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,1,5,5,1,0,0,2,0,5,0,35,0,35
2014,"Genetic screening analysis of patients with hereditary diffuse gastric cancer from northern and northeastern Brazil",17312302,"Hereditary Cancer in Clinical Practice","12","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,2,4,2,2,2,0,0,0,1,19,0,19
2014,"Description and phylogeny of Tetrakeronopsis silvanetoi gen. nov., sp. nov. (Hypotricha, Pseudokeronopsidae), a new benthic marine ciliate from Brazil",19326203,"PLoS ONE","9","2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,3,2,0,1,2,1,1,16,0,16
2014,"Phylogeography of the dark fruit-eating bat Artibeus obscurus in the Brazilian Amazon",00221503,"Journal of Heredity","105","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,2,2,2,0,10,0,10
2013,"Phylogenetic study of Class Armophorea (Alveolata, Ciliophora) based on 18S-rDNA data",14154757,"Genetics and Molecular Biology","36","4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,6,7,1,4,1,5,2,2,1,1,34,0,34
2013,"MYC Deregulation in Gastric Cancer and Its Clinicopathological Implications",19326203,"PLoS ONE","8","5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,9,9,8,10,7,11,6,4,5,4,4,94,0,94
2013,"Analysis of the methylation patterns of the p16 INK4A, p15 INK4B, and APC genes in gastric adenocarcinoma patients from a Brazilian population",10104283,"Tumor Biology","34","4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,1,1,0,0,2,0,1,0,0,0,0,18,0,18
2011,"Survivin-31C/G polymorphism and gastric cancer risk in a Brazilian population",15918890,"Clinical and Experimental Medicine","11","3",0,0,0,0,0,0,0,0,0,0,0,0,6,9,8,1,2,2,0,4,1,0,0,1,0,1,0,35,0,35
2011,"An Antarctic hypotrichous ciliate, Parasterkiella thompsoni (Foissner) nov. gen., nov. comb., recorded in Argentinean peat-bogs: Morphology, morphogenesis, and molecular phylogeny",09324739,"European Journal of Protistology","47","2",0,0,0,0,0,0,0,0,0,0,0,1,0,10,2,8,2,1,3,0,5,0,1,1,1,5,0,40,0,40
2011,"Morphology and 18S rDNA phylogeny of Hemicycliostyla sphagni (Ciliophora, Hypotricha) from Brazil with redefinition of the genus Hemicycliostyla",14665026,"International Journal of Systematic and Evolutionary Microbiology","62","1",0,0,0,0,0,0,0,0,0,0,0,0,1,6,5,2,3,0,5,1,3,1,0,0,0,0,0,27,0,27
2010,"Promoter polymorphisms and methylation of E-cadherin (CDH1) and KIT in gastric cancer patients from northern Brazil",02507005,"Anticancer Research","30","6",0,0,0,0,0,0,0,0,0,0,0,3,1,4,6,5,3,2,4,2,0,1,1,0,2,0,2,36,0,36
2010,"Absence of CIP1/KIP1 hypermethylation in gastric cancer patients from Northern Brazil",0258851X,"In Vivo","24","4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,0,1,0,0,0,0,0,0,6,0,6
2009,"Comparative phylogenetic study of Stichotrichia (Alveolata: Ciliophora: Spirotrichea) based on 18S-rDNA sequences",16765680,"Genetics and Molecular Research","8","1",0,0,0,0,0,0,0,0,0,0,3,13,2,3,4,4,4,3,4,3,2,3,0,1,0,1,0,50,0,50
2008,"Evolution of the SEC1 gene in New World monkey lineages (Primates, Platyrrhini)",16765680,"Genetics and Molecular Research","7","3",0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,7,0,7
2004,"Divergent evolution and purifying selection of the H (FUT1) gene in New World monkeys (Primates, Platyrrhini)",14154757,"Genetics and Molecular Biology","27","3",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
