,"Author: Cassoli, J. S.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"h-index = 17 (Of the 33 documents considered for the h-index, 17 have been cited at least 17 times.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,<2001,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Subtotal,>2026,Total
2016,"Differential proteome and phosphoproteome may impact cell signaling in the corpus callosum of schizophrenia patients",09209964,"Schizophrenia Research","177","1-3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,1,4,1,6,2,4,3,2,30,0,30
2016,"Structural and functional elucidation of peptide TS11 shows evidence of a novel subfamily of scorpion venom toxins",20726651,"Toxins","8","10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,3,3,2,1,4,1,29,0,29
2016,"Employing proteomics to unravel the molecular effects of antipsychotics and their role in schizophrenia",18628346,"Proteomics - Clinical Applications","10","4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,2,0,2,1,1,3,1,0,15,0,15
2016,"Effect of MK-801 and clozapine on the proteome of cultured human oligodendrocytes",16625102,"Frontiers in Cellular Neuroscience","10","MAR2016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,2,4,4,2,5,0,0,0,0,27,0,27
2015,"PnPP-19, a Synthetic and Nontoxic Peptide Designed from a Phoneutria nigriventer Toxin, Potentiates Erectile Function via NO/cGMP",00225347,"Journal of Urology","194","5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,5,5,4,3,4,2,1,1,0,32,0,32
2015,"Proteomics of the corpus callosum unravel pivotal players in the dysfunction of cell signaling, structure, and myelination in schizophrenia brains",09401334,"European Archives of Psychiatry and Clinical Neuroscience","265","7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,10,3,6,4,3,9,5,3,2,0,57,0,57
2015,"The protein interactome of collapsin response mediator protein-2 (CRMP2/DPYSL2) reveals novel partner proteins in brain tissue",18628346,"Proteomics - Clinical Applications","9","9-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2,8,5,5,2,1,4,2,2,41,0,41
2015,"Disturbed macro-connectivity in schizophrenia linked to oligodendrocyte dysfunction: From structural findings to molecules",2334265X,"npj Schizophrenia","1","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,8,8,14,7,6,6,6,8,4,77,0,77
2013,"The proteomic profile of Stichodactyla duerdeni secretion reveals the presence of a novel O-linked glycopeptide",18743919,"Journal of Proteomics","87","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,4,8,2,0,3,3,0,3,0,1,27,0,27
2013,"Biochemical and electrophysiological characterization of two sea anemone type 1 potassium toxins from a geographically distant population of bunodosoma caissarum",16603397,"Marine Drugs","11","3",0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,5,2,3,3,1,3,3,2,3,1,2,35,0,35
2012,"Peptide fingerprinting of the neurotoxic fractions isolated from the secretions of sea anemones Stichodactyla helianthus and Bunodosoma granulifera. New members of the APETx-like family identified by a 454 pyrosequencing approach",01969781,"Peptides","34","1",0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,2,4,4,6,3,1,2,3,1,1,0,0,39,0,39
2010,"A potent vasoactive cytolysin isolated from Scorpaena plumieri scorpionfish venom",00410101,"Toxicon","56","4",0,0,0,0,0,0,0,0,0,0,0,1,2,1,3,5,3,2,4,0,2,1,2,1,2,1,2,32,0,32
