,"Author: Herculano, Anderson Manoel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"h-index = 33 (Of the 91 documents considered for the h-index, 33 have been cited at least 33 times.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,<2001,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Subtotal,>2026,Total
2020,"Alkylated sesamol derivatives as potent antioxidants",14203049,"Molecules","25","14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,1,2,3,12,0,12
2020,"Experimental and theoretical study on structure-tautomerism among edaravone, isoxazolone, and their heterocycles derivatives as antioxidants",13190164,"Saudi Pharmaceutical Journal","28","7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,4,2,6,1,18,0,18
2020,"Phasic and tonic serotonin modulate alarm reactions and post-exposure behavior in zebrafish",00223042,"Journal of Neurochemistry","153","4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,4,5,4,2,20,0,20
2020,"Animal models for panic disorder",19843054,"Psychology and Neuroscience","13","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,2
2019,"Spatial frequency selectivity of the human visual cortex estimated with pseudo-random visual evoked cortical potential (VECP)",00426989,"Vision Research","165","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,5,0,5
2019,"Regulation of the Serotonergic System by Kainate in the Avian Retina",02724340,"Cellular and Molecular Neurobiology","39","7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,3,0,3
2019,"Sensory ecology of ostariophysan alarm substances",00221112,"Journal of Fish Biology","95","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,2,1,2,2,5,1,20,0,20
2019,"Adenosine A1 receptors modulate the Na + -Hypertonicity induced glutamate release in hypothalamic glial cells",01970186,"Neurochemistry International","126","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,4,0,4
2019,"Ascorbic acid prevents chloroquine-induced toxicity in inner glial cells",08872333,"Toxicology in Vitro","56","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,1,3,2,1,2,16,0,16
2019,"Psychophysical Evaluation of Visual Functions of Ex-Alcoholic Subjects After Prolonged Abstinence",16624548,"Frontiers in Neuroscience","13","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,2,1,8,0,8
2019,"Pathway-specific light adaptation in human electroretinograms",15347362,"Journal of Vision","19","3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,2
2019,"Neurochemical dysfunction in motor cortex and hippocampus impairs the behavioral performance of rats chronically exposed to inorganic mercury",0946672X,"Journal of Trace Elements in Medicine and Biology","52","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,7,2,3,2,4,26,0,26
